dataset,accuracy,specificity,sensitivity,precision
train_generator,0.7727272727272727,0.9714285714285714,0.5483870967741935,0.9444444444444444
dataset,accuracy,specificity,sensitivity,precision
validation_generator,0.7878787878787878,1.0,0.631578947368421,1.0
dataset,accuracy,specificity,sensitivity,precision
test_generator,0.8,0.9333333333333333,0.6666666666666666,0.9090909090909091
dataset,accuracy,specificity,sensitivity,precision
train_generator,0.7727272727272727,0.9714285714285714,0.5483870967741935,0.9444444444444444
dataset,accuracy,specificity,sensitivity,precision
validation_generator,0.7878787878787878,1.0,0.631578947368421,1.0
dataset,accuracy,specificity,sensitivity,precision
test_generator,0.8,0.9333333333333333,0.6666666666666666,0.9090909090909091
dataset,accuracy,specificity,sensitivity,precision
train_generator,0.7727272727272727,0.9714285714285714,0.5483870967741935,0.9444444444444444
dataset,accuracy,specificity,sensitivity,precision
validation_generator,0.7878787878787878,1.0,0.631578947368421,1.0
dataset,accuracy,specificity,sensitivity,precision
test_generator,0.8,0.9333333333333333,0.6666666666666666,0.9090909090909091
