dataset,accuracy,specificity,sensitivity,precision
train_generator,0.7727272727272727,1.0,0.53125,1.0
dataset,accuracy,specificity,sensitivity,precision
validation_generator,0.7272727272727273,1.0,0.47058823529411764,1.0
dataset,accuracy,specificity,sensitivity,precision
test_generator,0.8333333333333334,1.0,0.6666666666666666,1.0
dataset,accuracy,specificity,sensitivity,precision
train_generator,0.7727272727272727,1.0,0.53125,1.0
dataset,accuracy,specificity,sensitivity,precision
validation_generator,0.7272727272727273,1.0,0.47058823529411764,1.0
dataset,accuracy,specificity,sensitivity,precision
test_generator,0.8333333333333334,1.0,0.6666666666666666,1.0
dataset,accuracy,specificity,sensitivity,precision
train_generator,0.7727272727272727,1.0,0.53125,1.0
dataset,accuracy,specificity,sensitivity,precision
validation_generator,0.7272727272727273,1.0,0.47058823529411764,1.0
dataset,accuracy,specificity,sensitivity,precision
test_generator,0.8333333333333334,1.0,0.6666666666666666,1.0
